anime_id,title,score,start_date,end_date,num_episodes,airing_days,airing_weeks
41392,Urasekai Picnic,6.5,2021-01-04 00:00:00,2021-03-22 00:00:00,12,77,11.0
30524,Kagewani,6.2,2015-10-02 00:00:00,2015-12-25 00:00:00,13,84,12.0
10611,R-15,6.4,2011-07-10 00:00:00,2011-09-25 00:00:00,12,77,11.0
24,School Rumble,7.8,2004-10-05 00:00:00,2005-03-29 00:00:00,26,175,25.0
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.5,2021-01-06 00:00:00,2021-03-24 00:00:00,12,77,11.0
23273,Shigatsu wa Kimi no Uso,8.6,2014-10-10 00:00:00,2015-03-20 00:00:00,22,161,23.0
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,7.2,2013-10-20 00:00:00,2014-02-24 00:00:00,40,127,18.1
1892,YAT Anshin! Uchuu Ryokou 2,7.2,1998-04-11 00:00:00,1998-10-03 00:00:00,25,175,25.0
10346,Ring ni Kakero 1: Sekai Taikai-hen,6.8,2011-04-10 00:00:00,2011-06-12 00:00:00,6,63,9.0
6067,Moeru! Oniisan,6.8,1988-03-14 00:00:00,1988-09-19 00:00:00,24,189,27.0
39572,Wangu Xian Qiong III: Eren Gu Pian,6.8,2019-03-08 00:00:00,2019-05-17 00:00:00,13,70,10.0
34636,Ballroom e Youkoso,8.1,2017-07-09 00:00:00,2017-12-17 00:00:00,24,161,23.0
18097,Inazuma Eleven Go: Galaxy,6.6,2013-05-08 00:00:00,2014-03-19 00:00:00,43,315,45.0
2142,Blue Dragon,6.3,2007-04-07 00:00:00,2008-03-29 00:00:00,51,357,51.0
4477,Nodame Cantabile: Paris-hen,8.1,2008-10-10 00:00:00,2008-12-19 00:00:00,11,70,10.0
25519,Yuuki Yuuna wa Yuusha de Aru,7.3,2014-10-17 00:00:00,2014-12-26 00:00:00,12,70,10.0
40417,Fruits Basket 2nd Season,8.5,2020-04-07 00:00:00,2020-09-22 00:00:00,25,168,24.0
41389,Tonikaku Kawaii,7.9,2020-10-03 00:00:00,2020-12-19 00:00:00,12,77,11.0
34280,Gamers!,6.8,2017-07-13 00:00:00,2017-09-28 00:00:00,12,77,11.0
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.2,2018-10-04 00:00:00,2018-12-27 00:00:00,13,84,12.0
5203,Shin Maple Town Monogatari: Palm Town-hen,7.0,1987-01-18 00:00:00,1987-12-27 00:00:00,44,343,49.0
11769,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,6.1,2012-01-24 00:00:00,2012-03-27 00:00:00,12,63,9.0
23199,Durarara!!x2 Shou,8.0,2015-01-10 00:00:00,2015-03-28 00:00:00,12,77,11.0
4999,Asu no Yoichi!,6.7,2009-01-09 00:00:00,2009-03-27 00:00:00,12,77,11.0
4599,Tanoshii Willow Town,6.4,1993-10-07 00:00:00,1994-03-31 00:00:00,26,175,25.0
3182,Massugu ni Ikou. 2nd Season,6.7,2004-03-27 00:00:00,2004-04-01 00:00:00,5,5,0.7
2933,Mirai Keisatsu Urashiman,6.8,1983-01-09 00:00:00,1983-12-24 00:00:00,50,349,49.9
3290,Vampiyan Kids,5.9,2001-10-13 00:00:00,2002-03-30 00:00:00,23,168,24.0
7793,Ring ni Kakero 1: Kage Dou-hen,6.7,2010-04-02 00:00:00,2010-06-17 00:00:00,6,76,10.9
6674,Reporter Blues,6.5,1991-10-03 00:00:00,1991-11-08 00:00:00,52,36,5.1
4013,Paul no Miracle Daisakusen,6.4,1976-10-03 00:00:00,1977-09-11 00:00:00,50,343,49.0
3425,Meiken Lassie,6.9,1996-01-14 00:00:00,1996-08-18 00:00:00,25,217,31.0
