anime_id,title,genre,score,dropped_count,completed_count,favorites_count
41392,Urasekai Picnic,Adventure,6.5,9981,31419,463
41392,Urasekai Picnic,Fantasy,6.5,9981,31419,463
41392,Urasekai Picnic,Girls Love,6.5,9981,31419,463
41392,Urasekai Picnic,Mystery,6.5,9981,31419,463
41392,Urasekai Picnic,Sci-Fi,6.5,9981,31419,463
30524,Kagewani,Horror,6.2,3747,14404,28
30524,Kagewani,Mystery,6.2,3747,14404,28
30524,Kagewani,Supernatural,6.2,3747,14404,28
30524,Kagewani,Suspense,6.2,3747,14404,28
10611,R-15,Comedy,6.4,5430,48657,77
10611,R-15,Romance,6.4,5430,48657,77
10611,R-15,Ecchi,6.4,5430,48657,77
10611,R-15,Harem,6.4,5430,48657,77
10611,R-15,School,6.4,5430,48657,77
24,School Rumble,Comedy,7.8,14534,170051,4938
24,School Rumble,Romance,7.8,14534,170051,4938
24,School Rumble,School,7.8,14534,170051,4938
24,School Rumble,Shounen,7.8,14534,170051,4938
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Drama,8.5,8174,426404,10721
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Fantasy,8.5,8174,426404,10721
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Suspense,8.5,8174,426404,10721
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Psychological,8.5,8174,426404,10721
23273,Shigatsu wa Kimi no Uso,Drama,8.6,45996,1364213,77265
23273,Shigatsu wa Kimi no Uso,Romance,8.6,45996,1364213,77265
23273,Shigatsu wa Kimi no Uso,Music,8.6,45996,1364213,77265
23273,Shigatsu wa Kimi no Uso,School,8.6,45996,1364213,77265
23273,Shigatsu wa Kimi no Uso,Shounen,8.6,45996,1364213,77265
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,Action,7.2,56,249,3
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,Kids,7.2,56,249,3
36425,Zhandou Wang Zhi Jufeng Zhan Hun 2,Shounen,7.2,56,249,3
1892,YAT Anshin! Uchuu Ryokou 2,Adventure,7.2,65,562,2
1892,YAT Anshin! Uchuu Ryokou 2,Comedy,7.2,65,562,2
1892,YAT Anshin! Uchuu Ryokou 2,Sci-Fi,7.2,65,562,2
1892,YAT Anshin! Uchuu Ryokou 2,Shounen,7.2,65,562,2
10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,6.8,98,465,14
6067,Moeru! Oniisan,Action,6.8,96,252,1
6067,Moeru! Oniisan,Adventure,6.8,96,252,1
6067,Moeru! Oniisan,Comedy,6.8,96,252,1
39572,Wangu Xian Qiong III: Eren Gu Pian,Adventure,6.8,72,239,2
39572,Wangu Xian Qiong III: Eren Gu Pian,Comedy,6.8,72,239,2
39572,Wangu Xian Qiong III: Eren Gu Pian,Fantasy,6.8,72,239,2
34636,Ballroom e Youkoso,Comedy,8.1,12952,148630,3063
34636,Ballroom e Youkoso,Drama,8.1,12952,148630,3063
34636,Ballroom e Youkoso,Romance,8.1,12952,148630,3063
34636,Ballroom e Youkoso,Sports,8.1,12952,148630,3063
34636,Ballroom e Youkoso,School,8.1,12952,148630,3063
34636,Ballroom e Youkoso,Shounen,8.1,12952,148630,3063
18097,Inazuma Eleven Go: Galaxy,Sports,6.6,1699,31625,89
18097,Inazuma Eleven Go: Galaxy,Super Power,6.6,1699,31625,89
