genre,avg_score,avg_completed_count,avg_favorites_count,topN_anime_count,total_anime_count
Action,8.2,1829218.0,61308.0,20,3495
Shounen,8.3,1759512.8,64344.8,20,1690
Drama,8.5,1590839.2,66805.1,20,2146
Supernatural,8.1,1550240.1,43740.1,20,1399
Super Power,8.3,1522945.0,54193.6,20,550
Fantasy,8.1,1515734.4,50648.6,20,2785
Comedy,8.1,1489329.0,45945.8,20,5091
Adventure,8.0,1374998.4,47547.7,20,2379
School,8.2,1357382.8,41731.0,20,1538
Mystery,8.0,1333758.4,39954.0,20,678
Psychological,8.0,1186095.7,43902.8,20,336
Romance,7.9,1121739.1,32813.6,20,1772
Sci-Fi,8.1,1017780.6,43798.8,20,2087
Military,8.2,999864.6,38140.5,20,519
Suspense,7.9,820466.7,32879.4,20,144
Slice of Life,8.1,812064.5,24966.6,20,1716
Seinen,7.7,806603.5,16314.6,20,783
Horror,7.6,789550.8,14915.3,20,388
Game,7.5,764587.8,11287.0,20,372
Demons,7.8,738576.8,16857.9,20,481
Ecchi,7.6,734740.2,10511.2,20,685
Mecha,7.8,592467.6,23378.8,20,829
Harem,7.1,566126.0,6428.1,20,393
Parody,7.9,516494.4,12912.6,20,535
Historical,8.2,496855.0,18360.4,20,904
Sports,8.1,473916.5,10510.7,20,581
Martial Arts,7.7,467365.6,13223.8,20,420
Shoujo,7.8,445794.0,9993.1,20,601
Vampire,7.7,443811.4,9302.0,20,135
Police,7.7,313181.9,11388.9,20,229
Music,7.9,273336.0,10465.8,20,674
Gourmet,7.5,260043.4,2005.4,20,98
Avant Garde,7.5,224705.4,10728.1,20,361
Award Winning,7.2,211146.0,3999.9,7,7
Samurai,8.3,209592.2,7865.6,20,166
Space,7.8,162045.0,5312.0,20,377
Kids,7.3,147651.4,721.8,20,1303
Josei,7.8,117576.6,2759.8,20,96
Boys Love,7.0,117111.8,2171.2,20,148
Girls Love,7.0,104612.4,1380.8,20,107
Cars,7.7,60623.3,957.7,20,111
Hentai,6.7,39768.0,444.6,20,1210
Erotica,6.6,33088.8,242.8,20,78
Work Life,7.1,1298.0,56.8,8,8
