anime_id,title,main_pic,score,completed_count,favorites_count
50522,Teikou Penguin,https://cdn.myanimelist.net/images/anime/1018/119890.jpg,,0,4
48495,Akachan Honbuchou,https://cdn.myanimelist.net/images/anime/1585/113558.jpg,,55,1
50141,Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!,https://cdn.myanimelist.net/images/anime/1996/118831.jpg,,45,0
51132,Akachan Honbuchou 2nd Season,https://cdn.myanimelist.net/images/anime/1657/121112.jpg,,18,0
40333,Uzumaki,https://cdn.myanimelist.net/images/anime/1432/105265.jpg,,0,240
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://cdn.myanimelist.net/images/anime/1724/117421.jpg,8.5,426404,10721
23273,Shigatsu wa Kimi no Uso,https://cdn.myanimelist.net/images/anime/3/67177.jpg,8.6,1364213,77265
4477,Nodame Cantabile: Paris-hen,https://cdn.myanimelist.net/images/anime/4/11918.jpg,8.1,90789,275
40417,Fruits Basket 2nd Season,https://cdn.myanimelist.net/images/anime/1972/111635.jpg,8.5,214802,4836
34280,Gamers!,https://cdn.myanimelist.net/images/anime/4/86828.jpg,6.8,398121,2007
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://cdn.myanimelist.net/images/anime/1301/93586.jpg,8.2,1065190,40400
369,Boogiepop wa Warawanai,https://cdn.myanimelist.net/images/anime/1327/95777.jpg,7.1,33722,864
32664,Bananya,https://cdn.myanimelist.net/images/anime/11/80200.jpg,6.7,38664,327
17265,Log Horizon,https://cdn.myanimelist.net/images/anime/5/84004.jpg,7.9,651322,9841
934,Higurashi no Naku Koro ni,https://cdn.myanimelist.net/images/anime/12/19634.jpg,7.9,411189,19465
44273,Mewkledreamy Mix!,https://cdn.myanimelist.net/images/anime/1313/112427.jpg,7.9,0,11
16706,Kami nomi zo Shiru Sekai: Megami-hen,https://cdn.myanimelist.net/images/anime/6/51949.jpg,8.0,236576,1928
19429,Akuma no Riddle,https://cdn.myanimelist.net/images/anime/6/60479.jpg,6.6,152068,967
48556,Takt Op. Destiny,https://cdn.myanimelist.net/images/anime/1449/117797.jpg,7.2,134956,4124
37597,Dakaretai Otoko 1-i ni Odosarete Imasu.,https://cdn.myanimelist.net/images/anime/1402/95620.jpg,7.4,81873,1570
121,Fullmetal Alchemist,https://cdn.myanimelist.net/images/anime/10/75815.jpg,8.1,1004732,24337
34382,Citrus,https://cdn.myanimelist.net/images/anime/11/89985.jpg,6.4,266280,3344
1313,Digimon Adventure 02,https://cdn.myanimelist.net/images/anime/8/20360.jpg,7.2,186291,685
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,https://cdn.myanimelist.net/images/anime/1028/117777.jpg,8.7,332233,12785
13601,Psycho-Pass,https://cdn.myanimelist.net/images/anime/5/43399.jpg,8.3,833007,35209
31592,Pokemon XY&Z,https://cdn.myanimelist.net/images/anime/1599/94412.jpg,7.7,94336,850
877,Nana,https://cdn.myanimelist.net/images/anime/2/11232.jpg,8.4,230545,22125
28891,Haikyuu!! Second Season,https://cdn.myanimelist.net/images/anime/9/76662.jpg,8.6,1033209,14803
4081,Natsume Yuujinchou,https://cdn.myanimelist.net/images/anime/1681/108439.jpg,8.3,201981,14154
33506,Ao no Exorcist: Kyoto Fujouou-hen,https://cdn.myanimelist.net/images/anime/5/85201.jpg,7.4,482005,1473
4898,Kuroshitsuji,https://cdn.myanimelist.net/images/anime/5/27013.jpg,7.6,673170,20999
36456,Boku no Hero Academia 3rd Season,https://cdn.myanimelist.net/images/anime/1319/92084.jpg,8.1,1558871,12702
24701,Mushishi Zoku Shou 2nd Season,https://cdn.myanimelist.net/images/anime/9/68095.jpg,8.7,115652,1272
440,Shoujo Kakumei Utena,https://cdn.myanimelist.net/images/anime/1078/95285.jpg,8.0,59881,6900
39597,Sword Art Online: Alicization - War of Underworld,https://cdn.myanimelist.net/images/anime/1630/103417.jpg,7.6,470182,3229
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://cdn.myanimelist.net/images/anime/1295/106551.jpg,8.4,1014148,30458
10165,Nichijou,https://cdn.myanimelist.net/images/anime/3/75617.jpg,8.4,338426,20294
226,Elfen Lied,https://cdn.myanimelist.net/images/anime/10/6883.jpg,7.5,992927,22269
32526,Love Live! Sunshine!!,https://cdn.myanimelist.net/images/anime/8/80791.jpg,7.4,100872,2776
14741,Chuunibyou demo Koi ga Shitai!,https://cdn.myanimelist.net/images/anime/12/46931.jpg,7.7,856928,16369
18,Initial D Fourth Stage,https://cdn.myanimelist.net/images/anime/9/10521.jpg,8.1,112857,1104
245,Great Teacher Onizuka,https://cdn.myanimelist.net/images/anime/13/11460.jpg,8.6,391413,22574
39790,Adachi to Shimamura,https://cdn.myanimelist.net/images/anime/1649/109056.jpg,7.1,62523,1189
