scope,genre,metric,rank,anime_id
genre,Action,completed_count,1,16498
genre,Action,completed_count,2,30276
genre,Action,completed_count,3,11757
genre,Action,completed_count,4,31964
genre,Action,completed_count,5,22319
genre,Action,completed_count,6,5114
genre,Action,completed_count,7,25777
genre,Action,completed_count,8,20
genre,Action,completed_count,9,38000
genre,Action,completed_count,10,33486
genre,Action,completed_count,11,35760
genre,Action,completed_count,12,38524
genre,Action,completed_count,13,36456
genre,Action,completed_count,14,11061
genre,Action,completed_count,15,23755
genre,Action,completed_count,16,21881
genre,Action,completed_count,17,1575
genre,Action,completed_count,18,20507
genre,Action,completed_count,19,6547
genre,Action,completed_count,20,22199
genre,Adventure,completed_count,1,11757
genre,Adventure,completed_count,2,5114
genre,Adventure,completed_count,3,20
genre,Adventure,completed_count,4,19815
genre,Adventure,completed_count,5,11061
genre,Adventure,completed_count,6,23755
genre,Adventure,completed_count,7,21881
genre,Adventure,completed_count,8,20507
genre,Adventure,completed_count,9,199
genre,Adventure,completed_count,10,22199
genre,Adventure,completed_count,11,30831
genre,Adventure,completed_count,12,1735
genre,Adventure,completed_count,13,32937
genre,Adventure,completed_count,14,28121
genre,Adventure,completed_count,15,30503
genre,Adventure,completed_count,16,14719
genre,Adventure,completed_count,17,121
genre,Adventure,completed_count,18,29803
genre,Adventure,completed_count,19,431
genre,Adventure,completed_count,20,38691
genre,Avant Garde,completed_count,1,30
genre,Avant Garde,completed_count,2,35120
genre,Avant Garde,completed_count,3,32
genre,Avant Garde,completed_count,4,227
genre,Avant Garde,completed_count,5,437
genre,Avant Garde,completed_count,6,1943
genre,Avant Garde,completed_count,7,339
genre,Avant Garde,completed_count,8,323
genre,Avant Garde,completed_count,9,10721
genre,Avant Garde,completed_count,10,885
genre,Avant Garde,completed_count,11,37451
genre,Avant Garde,completed_count,12,19383
genre,Avant Garde,completed_count,13,601
genre,Avant Garde,completed_count,14,33010
genre,Avant Garde,completed_count,15,48488
genre,Avant Garde,completed_count,16,369
genre,Avant Garde,completed_count,17,22537
genre,Avant Garde,completed_count,18,875
genre,Avant Garde,completed_count,19,441
genre,Avant Garde,completed_count,20,35842
genre,Award Winning,completed_count,1,199
genre,Award Winning,completed_count,2,5365
genre,Award Winning,completed_count,3,50206
genre,Award Winning,completed_count,4,49977
genre,Award Winning,completed_count,5,49976
genre,Award Winning,completed_count,6,49956
genre,Award Winning,completed_count,7,51071
genre,Boys Love,completed_count,1,39533
genre,Boys Love,completed_count,2,3092
genre,Boys Love,completed_count,3,21105
genre,Boys Love,completed_count,4,30346
genre,Boys Love,completed_count,5,9926
genre,Boys Love,completed_count,6,4814
genre,Boys Love,completed_count,7,1639
genre,Boys Love,completed_count,8,11123
genre,Boys Love,completed_count,9,40421
genre,Boys Love,completed_count,10,31680
genre,Boys Love,completed_count,11,33654
genre,Boys Love,completed_count,12,149
genre,Boys Love,completed_count,13,25649
genre,Boys Love,completed_count,14,37597
genre,Boys Love,completed_count,15,243
genre,Boys Love,completed_count,16,40615
genre,Boys Love,completed_count,17,37585
genre,Boys Love,completed_count,18,5391
genre,Boys Love,completed_count,19,33417
genre,Boys Love,completed_count,20,4866
genre,Cars,completed_count,1,6675
genre,Cars,completed_count,2,185
genre,Cars,completed_count,3,186
genre,Cars,completed_count,4,187
genre,Cars,completed_count,5,18
genre,Cars,completed_count,6,15059
genre,Cars,completed_count,7,22507
genre,Cars,completed_count,8,40532
genre,Cars,completed_count,9,822
genre,Cars,completed_count,10,5228
genre,Cars,completed_count,11,821
genre,Cars,completed_count,12,19613
genre,Cars,completed_count,13,3931
genre,Cars,completed_count,14,28881
genre,Cars,completed_count,15,2608
genre,Cars,completed_count,16,30952
genre,Cars,completed_count,17,388
genre,Cars,completed_count,18,6162
genre,Cars,completed_count,19,917
genre,Cars,completed_count,20,1445
genre,Comedy,completed_count,1,30276
genre,Comedy,completed_count,2,31964
genre,Comedy,completed_count,3,5114
genre,Comedy,completed_count,4,20
genre,Comedy,completed_count,5,33486
genre,Comedy,completed_count,6,19815
genre,Comedy,completed_count,7,36456
genre,Comedy,completed_count,8,4224
genre,Comedy,completed_count,9,20507
genre,Comedy,completed_count,10,6547
genre,Comedy,completed_count,11,30831
genre,Comedy,completed_count,12,1735
genre,Comedy,completed_count,13,20583
genre,Comedy,completed_count,14,32182
genre,Comedy,completed_count,15,24833
genre,Comedy,completed_count,16,32937
genre,Comedy,completed_count,17,38408
genre,Comedy,completed_count,18,28121
genre,Comedy,completed_count,19,37450
genre,Comedy,completed_count,20,15809
genre,Demons,completed_count,1,38000
genre,Demons,completed_count,2,9919
genre,Demons,completed_count,3,40748
genre,Demons,completed_count,4,15809
genre,Demons,completed_count,5,11617
genre,Demons,completed_count,6,40456
genre,Demons,completed_count,7,37430
genre,Demons,completed_count,8,15451
genre,Demons,completed_count,9,35120
genre,Demons,completed_count,10,4898
genre,Demons,completed_count,11,24703
genre,Demons,completed_count,12,37520
genre,Demons,completed_count,13,33506
genre,Demons,completed_count,14,39551
genre,Demons,completed_count,15,11633
genre,Demons,completed_count,16,23233
genre,Demons,completed_count,17,40496
genre,Demons,completed_count,18,47778
genre,Demons,completed_count,19,6707
genre,Demons,completed_count,20,14713
genre,Drama,completed_count,1,16498
genre,Drama,completed_count,2,22319
genre,Drama,completed_count,3,5114
genre,Drama,completed_count,4,32281
genre,Drama,completed_count,5,25777
genre,Drama,completed_count,6,35760
genre,Drama,completed_count,7,28851
genre,Drama,completed_count,8,38524
genre,Drama,completed_count,9,1575
genre,Drama,completed_count,10,31240
genre,Drama,completed_count,11,6547
genre,Drama,completed_count,12,199
genre,Drama,completed_count,13,22199
genre,Drama,completed_count,14,9253
genre,Drama,completed_count,15,23273
genre,Drama,completed_count,16,27899
genre,Drama,completed_count,17,2904
genre,Drama,completed_count,18,20583
genre,Drama,completed_count,19,22535
genre,Drama,completed_count,20,9989
genre,Ecchi,completed_count,1,19815
genre,Ecchi,completed_count,2,28171
genre,Ecchi,completed_count,3,8074
genre,Ecchi,completed_count,4,11617
genre,Ecchi,completed_count,5,18679
genre,Ecchi,completed_count,6,32282
genre,Ecchi,completed_count,7,15451
genre,Ecchi,completed_count,8,35788
genre,Ecchi,completed_count,9,30240
genre,Ecchi,completed_count,10,30296
genre,Ecchi,completed_count,11,39535
genre,Ecchi,completed_count,12,24703
genre,Ecchi,completed_count,13,1195
genre,Ecchi,completed_count,14,25157
genre,Ecchi,completed_count,15,10719
genre,Ecchi,completed_count,16,36949
genre,Ecchi,completed_count,17,11597
genre,Ecchi,completed_count,18,30307
genre,Ecchi,completed_count,19,2993
genre,Ecchi,completed_count,20,29786
genre,Erotica,completed_count,1,40746
genre,Erotica,completed_count,2,37585
genre,Erotica,completed_count,3,8634
genre,Erotica,completed_count,4,3375
genre,Erotica,completed_count,5,746
genre,Erotica,completed_count,6,5774
genre,Erotica,completed_count,7,3210
genre,Erotica,completed_count,8,2148
genre,Erotica,completed_count,9,7748
genre,Erotica,completed_count,10,719
genre,Erotica,completed_count,11,5902
genre,Erotica,completed_count,12,35629
genre,Erotica,completed_count,13,37281
genre,Erotica,completed_count,14,5719
